time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
2010-01-01 24:00:00,63077564.882050,    0.000000,    0.000000,    0.000000,80382.501792,80382.502656,    0.000000,-2104.183446,    0.000000,    0.000000,    0.000000,   46.799465,3930867.461642,    0.000000,    0.000000,    0.000000,    0.000000,    0.100000,    4.644331,    4.472281,    4.472281,   14.876703,  -15.424912,   -9.093151, -218.308553,    0.000000,    0.000000,    0.018448,    0.466896,    0.546847,    0.000000,    0.098256,    0.001300,    0.001300,    0.000000
2010-01-02 24:00:00,63074849.860808,    0.000000,    0.000000,    0.000000,77259.831696,77259.831696,    0.000000,-2750.950959,    0.000000,    0.000000,    0.000000,   46.798765,3930694.178045,    0.000000,    0.000000,    0.000000,    0.000000,    0.099997,    4.345611,    4.178521,    4.178521,   12.493265,  -20.173173,  -10.303915, -210.984382,   56.044716,    0.000000,    0.029335,    0.734432,    0.685854,    0.000000,    0.098256,    0.001300,    0.001300,    0.000000
2010-01-03 24:00:00,63070432.395239,    0.000000,    0.000000,    0.000000,71840.798640,71840.797776,    0.000000,-4475.669159,    0.000000,    0.000000,    0.000000,   46.797626,3930412.237590,    0.000000,    0.000000,    0.000000,    0.000000,    0.099988,    4.192125,    4.024059,    4.024059,   23.834182,  -32.830142,  -29.360462,  -77.566123,   50.525901,    0.000000,    0.119726,    2.857390,    1.352821,    5.517327,    0.098289,    0.001300,    0.001300,    0.000000
2010-01-04 24:00:00,63067369.262828,    0.000000,    0.000000,    0.000000,67551.855984,67551.855552,    0.000000,-4640.473694, 1537.172180,    0.000000,    0.000000,   46.796837,3930216.736136,    0.000000,    0.000000,    0.000000,    0.000000,    0.099973,    4.035869,    3.874240,    3.874240,   26.590848,  -34.045814,  -32.104690,  -78.390404,   68.632630,    0.000000,    0.119710,    2.857015,    1.352732,    5.518524,    0.098288,    0.001300,    0.001300,    0.000000
2010-01-05 24:00:00,63066369.132583,    0.000000,    0.000000,    0.000000,108460.651536,108460.651104,    0.000000,-3904.897952, 2891.686105,    0.000000,    0.000000,   46.796579,3930152.903793,    0.000000,    0.000000,    0.000000,    0.000000,    0.099953,    4.004940,    3.692204,    3.692204,   30.530614,  -28.653607,  -25.770093,  -84.444404,   68.260702,    0.000000,    0.107769,    2.589335,    1.287803,   14.576716,    0.111038,    0.001300,    0.001300,    0.000000
2010-01-06 24:00:00,63062604.872003,    0.000000,    0.000000,    0.000000,120852.147312,120852.146880,    0.000000,-5167.866032, 1354.514480,    0.000000,    0.000000,   46.795608,3929912.653513,    0.000000,    0.000000,    0.000000,    0.000000,    0.099926,    3.733581,    3.589793,    3.589793,   30.780033,  -37.928983,  -28.262144,  -86.804923,   69.955743,    0.000000,    0.150778,    3.537780,    1.505292,    7.454496,    0.342539,    0.001300,    0.001300,    0.000000
2010-01-07 24:00:00,63062744.521297,    0.000000,    0.000000,    0.000000,80767.447056,80767.447488,    0.000000,-4337.324354, 4478.790931,    0.000000,    0.000000,   46.795644,3929921.566494,    0.000000,    0.000000,    0.000000,    0.000000,    0.099893,    3.733581,    3.482069,    3.482069,   28.211047,  -31.837997,  -23.817983,  -87.818863,   56.836212,    0.000000,    0.106115,    2.551971,    1.278478,  130.927707,    0.211885,    0.001300,    0.001300,    0.000000
2010-01-08 24:00:00,63068531.672410,    0.000000,    0.000000,    0.000000,78760.727136,78760.727568,    0.000000,-2577.699304, 5799.467733,    0.000000,    0.000000,   46.797136,3930290.925800,    0.000000,    0.000000,    0.000000,    0.000000,    0.099855,    3.733581,    2.390189,    2.390189,   25.885294,  -18.930577,  -19.529429,  -76.585816,   59.787373,    0.000000,    0.063417,    1.561019,    0.999907,   96.008228,    0.098501,    0.001300,    0.001300,    0.000000
2010-01-09 24:00:00,63069775.231355,    0.000000,    0.000000,    0.000000,75429.946656,75429.946656,    0.000000,-2701.779946, 1320.549886,    0.000000,    0.000000,   46.797457,3930370.294743,    0.000000,    0.000000,    0.000000,    0.000000,    0.099811,    3.733581,    1.104956,    1.104956,   26.653846,  -19.863743,  -26.364713,  -73.836308,   60.487338,    0.000000,    0.071146,    1.744286,    1.056974,   68.026377,    0.194972,    0.001300,    0.001300,    0.000000
2010-01-10 24:00:00,63079641.503633,    0.000000,    0.000000,    0.000000,61127.749440,61127.749008,10359.314249,-4271.011693, 9591.675078,    0.000000,    0.000000,   46.800000,3931000.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.099760,    3.733581,    2.952775,    2.952775,   20.414962,  -31.362979,  -37.844872,  -73.179213,   31.602413,    0.000000,    0.104802,    2.522278,    1.271019,  308.252291,    0.098501,    0.001300,    0.001300,    0.000000
